,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
0,15.0,2.0,T Helper Cell,5,Negative,0,4.461036,4.461036
1,36.75,6.75,T Helper Cell,5,Negative,0,9.262379,9.262379
2,11.75,8.25,T Helper Cell,5,Negative,0,6.959003,6.959003
3,65.75,9.0,T Helper Cell,5,Negative,0,16.364574,16.364574
4,22.25,10.75,T Helper Cell,5,Negative,0,4.528144,4.528144
5,67.0,17.75,T Helper Cell,5,Negative,0,23.410162,23.410162
6,15.75,20.0,T Helper Cell,5,Negative,0,3.175609,3.175609
7,14.0,32.5,T Helper Cell,5,Negative,0,5.331523,5.331523
8,4.5,47.5,T Helper Cell,5,Negative,0,7.207738,7.207738
9,1.75,60.0,T Helper Cell,5,Negative,0,10.312316,10.312316
10,31.75,70.0,T Helper Cell,5,Negative,0,5.506264,5.506264
11,7.5,71.25,T Helper Cell,5,Negative,0,14.508109,14.508109
12,1.25,296.25,T Helper Cell,5,Negative,0,10.167079,10.167079
13,78.0,36.0,T Helper Cell,5,Negative,0,5.521604,5.521604
14,407.25,46.25,T Helper Cell,5,Negative,0,3.323565,3.323565
15,425.75,63.0,T Helper Cell,5,Negative,0,7.780086,7.780086
16,105.75,66.5,T Helper Cell,5,Negative,0,7.464241,7.464241
17,115.5,66.5,T Helper Cell,5,Negative,0,15.622787,15.622787
18,435.75,75.0,T Helper Cell,5,Negative,0,11.389042,11.389042
19,118.0,77.75,T Helper Cell,5,Negative,0,8.827729,8.827729
20,222.5,79.5,T Helper Cell,5,Negative,0,11.39133,11.39133
21,232.0,81.5,T Helper Cell,5,Negative,0,4.022148,4.022148
22,242.25,84.5,T Helper Cell,5,Negative,0,4.890683,4.890683
23,372.75,87.25,T Helper Cell,5,Negative,0,4.645046,4.645046
24,222.0,92.75,T Helper Cell,5,Negative,0,8.846828,8.846828
25,262.25,91.0,T Helper Cell,5,Negative,0,3.193761,3.193761
26,95.5,91.25,T Helper Cell,5,Negative,0,3.145985,3.145985
27,104.0,90.5,T Helper Cell,5,Negative,0,4.206703,4.206703
28,233.5,95.25,T Helper Cell,5,Negative,0,5.135679,5.135679
29,357.75,91.75,T Helper Cell,5,Negative,0,5.965061,5.965061
30,242.0,92.25,T Helper Cell,5,Negative,0,12.351843,12.351843
31,110.0,95.75,T Helper Cell,5,Negative,0,4.159292,4.159292
32,245.75,97.75,T Helper Cell,5,Negative,0,9.781447,9.781447
33,261.0,101.75,T Helper Cell,5,Negative,0,7.145412,7.145412
34,392.75,100.0,T Helper Cell,5,Negative,0,3.28701,3.28701
35,219.25,100.5,T Helper Cell,5,Negative,0,9.473474,9.473474
36,361.0,101.25,T Helper Cell,5,Negative,0,3.965537,3.965537
37,217.75,107.5,T Helper Cell,5,Negative,0,14.349751,14.349751
38,364.25,106.25,T Helper Cell,5,Negative,0,5.154673,5.154673
39,230.5,111.5,T Helper Cell,5,Negative,0,16.259247,16.259247
40,353.75,112.75,T Helper Cell,5,Negative,0,3.212131,3.212131
41,395.5,110.0,T Helper Cell,5,Negative,0,11.042966,11.042966
42,448.75,112.0,T Helper Cell,5,Negative,0,9.183001,9.183001
43,217.75,114.0,T Helper Cell,5,Negative,0,12.438574,12.438574
44,387.75,112.0,T Helper Cell,5,Negative,0,5.617463,5.617463
45,265.25,113.5,T Helper Cell,5,Negative,0,16.226847,16.226847
46,238.0,116.0,T Helper Cell,5,Negative,0,3.604278,3.604278
47,343.25,115.25,T Helper Cell,5,Negative,0,11.026839,11.026839
48,402.25,120.75,T Helper Cell,5,Negative,0,5.865381,5.865381
49,389.75,120.75,T Helper Cell,5,Negative,0,13.501279,13.501279
50,223.25,121.75,T Helper Cell,5,Negative,0,23.542152,23.542152
51,266.25,125.25,T Helper Cell,5,Negative,0,6.622861,6.622861
52,453.0,122.0,T Helper Cell,5,Negative,0,8.957883,8.957883
53,235.5,125.25,T Helper Cell,5,Negative,0,8.421149,8.421149
54,217.5,126.25,T Helper Cell,5,Negative,0,11.785316,11.785316
55,456.0,126.25,T Helper Cell,5,Negative,0,15.788954,15.788954
56,422.25,127.75,T Helper Cell,5,Negative,0,6.729019,6.729019
57,227.75,127.5,T Helper Cell,5,Negative,0,26.460993,26.460993
58,407.75,129.0,T Helper Cell,5,Negative,0,3.606007,3.606007
59,428.75,130.25,T Helper Cell,5,Negative,0,11.118525,11.118525
60,455.25,136.5,T Helper Cell,5,Negative,0,5.003784,5.003784
61,464.0,132.0,T Helper Cell,5,Negative,0,7.638556,7.638556
62,220.5,133.5,T Helper Cell,5,Negative,0,23.428173,23.428173
63,420.25,136.0,T Helper Cell,5,Negative,0,3.018807,3.018807
64,226.75,139.0,T Helper Cell,5,Negative,0,9.072763,9.072763
65,279.5,138.0,T Helper Cell,5,Negative,0,13.876109,13.876109
66,465.25,141.5,T Helper Cell,5,Negative,0,7.190172,7.190172
67,289.25,139.5,T Helper Cell,5,Negative,0,5.827306,5.827306
68,90.5,143.0,T Helper Cell,5,Negative,0,9.336961,9.336961
69,281.5,145.5,T Helper Cell,5,Negative,0,5.168661,5.168661
70,246.5,147.0,T Helper Cell,5,Negative,0,3.912701,3.912701
71,295.0,151.0,T Helper Cell,5,Negative,0,3.639134,3.639134
72,253.75,153.75,T Helper Cell,5,Negative,0,8.545865,8.545865
73,243.5,154.5,T Helper Cell,5,Negative,0,8.457408,8.457408
74,253.0,161.75,T Helper Cell,5,Negative,0,12.867415,12.867415
75,245.0,164.0,T Helper Cell,5,Negative,0,5.410064,5.410064
76,279.25,163.75,T Helper Cell,5,Negative,0,3.404031,3.404031
77,239.5,167.0,T Helper Cell,5,Negative,0,5.69391,5.69391
78,415.75,170.75,T Helper Cell,5,Negative,0,3.252446,3.252446
