,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
0,41.0,47.25,T Helper Cell,5,Negative,0,15.685297,15.685297
1,209.5,45.75,T Helper Cell,5,Negative,0,3.528483,3.528483
2,217.75,48.0,T Helper Cell,5,Negative,0,15.472277,15.472277
3,35.0,49.75,T Helper Cell,5,Negative,0,4.200648,4.200648
4,160.75,57.5,T Helper Cell,5,Negative,0,6.131171,6.131171
5,131.5,64.0,T Helper Cell,5,Negative,0,4.527044,4.527044
6,72.25,70.0,T Helper Cell,5,Negative,0,7.070163,7.070163
7,104.75,79.25,T Helper Cell,5,Negative,0,3.941606,3.941606
8,71.0,80.25,T Helper Cell,5,Negative,0,7.186075,7.186075
9,99.5,101.0,T Helper Cell,5,Negative,0,9.301019,9.301019
10,82.0,117.0,T Helper Cell,5,Negative,0,8.656494,8.656494
11,258.5,127.5,T Helper Cell,5,Negative,0,6.130451,6.130451
12,224.25,160.0,T Helper Cell,5,Negative,0,13.873059,13.873059
13,19.0,218.0,T Helper Cell,5,Negative,0,4.124156,4.124156
14,187.0,250.75,T Helper Cell,5,Negative,0,3.296993,3.296993
15,665.75,21.25,T Helper Cell,5,Negative,0,5.909221,5.909221
16,727.0,135.5,T Helper Cell,5,Negative,0,3.20447,3.20447
17,783.25,205.25,T Helper Cell,5,Negative,0,3.335224,3.335224
18,795.75,208.0,T Helper Cell,5,Negative,0,10.67289,10.67289
19,792.25,217.5,T Helper Cell,5,Negative,0,3.133826,3.133826
20,884.0,217.5,T Helper Cell,5,Negative,0,3.836648,3.836648
21,840.0,234.0,T Helper Cell,5,Negative,0,4.582656,4.582656
22,896.5,236.0,T Helper Cell,5,Negative,0,4.673337,4.673337
23,352.0,92.0,T Helper Cell,5,Negative,0,10.599871,10.599871
24,342.0,95.0,T Helper Cell,5,Negative,0,3.466058,3.466058
25,288.25,96.5,T Helper Cell,5,Negative,0,11.060791,11.060791
26,348.0,96.5,T Helper Cell,5,Negative,0,12.938249,12.938249
27,280.75,104.0,T Helper Cell,5,Negative,0,6.763071,6.763071
28,274.25,113.5,T Helper Cell,5,Negative,0,12.738596,12.738596
29,286.75,113.25,T Helper Cell,5,Negative,0,11.265521,11.265521
30,285.25,122.0,T Helper Cell,5,Negative,0,6.604532,6.604532
31,273.5,122.25,T Helper Cell,5,Negative,0,18.815077,18.815077
